127.0.0.1 - - [26/Jul/2017:22:14:25 +0530] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:35 +0530] "GET /MyWebApp/Index HTTP/1.1" 200 49560
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:35 +0530] "GET /MyWebApp/assets/lib/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:35 +0530] "GET /MyWebApp/assets/lib/animate.css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:35 +0530] "GET /MyWebApp/assets/lib/components-font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:35 +0530] "GET /MyWebApp/assets/lib/et-line-font/et-line-font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:35 +0530] "GET /MyWebApp/assets/lib/flexslider/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/assets/lib/magnific-popup/dist/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/assets/lib/simple-text-rotator/simpletextrotator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/assets/css/colors/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:36 +0530] "GET /MyWebApp/js/basic.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:37 +0530] "GET /MyWebApp/assets/images/rp-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:37 +0530] "GET /MyWebApp/assets/images/rp-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:38 +0530] "GET /MyWebApp/assets/lib/jquery/dist/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:38 +0530] "GET /MyWebApp/assets/lib/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:39 +0530] "GET /MyWebApp/assets/lib/wow/dist/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:39 +0530] "GET /MyWebApp/assets/lib/jquery.mb.ytplayer/dist/jquery.mb.YTPlayer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:39 +0530] "GET /MyWebApp/assets/lib/isotope/dist/isotope.pkgd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:39 +0530] "GET /MyWebApp/assets/lib/imagesloaded/imagesloaded.pkgd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:40 +0530] "GET /MyWebApp/assets/lib/flexslider/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:40 +0530] "GET /MyWebApp/assets/lib/components-font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:40 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:41 +0530] "GET /MyWebApp/assets/lib/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:41 +0530] "GET /MyWebApp/assets/lib/magnific-popup/dist/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:41 +0530] "GET /MyWebApp/assets/lib/simple-text-rotator/jquery.simple-text-rotator.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:41 +0530] "GET /MyWebApp/assets/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:14:41 +0530] "GET /MyWebApp/assets/js/main.js HTTP/1.1" 304 -
